"PVWatts Hourly PV Performance Data"
"Requested Location","detroit, mi"
"Location","Lat, Lng: 42.33, -83.06"
"Latitude (DD)","42.33"
"Longitude (DD)","-83.06"
"Elevation (m)","186.44999694824"
"DC System Size (kW)","80"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","0","3.2","0.12","0","0","0","0"
"1","1","1","0","0","-1","3","0.12","0","-1","0","0"
"1","1","2","0","0","-2","2.9","0.12","0","-2","0","0"
"1","1","3","0","0","-2","2.7","0.12","0","-2","0","0"
"1","1","4","0","0","-2","2.5","0.12","0","-2","0","0"
"1","1","5","0","0","-3","2.3","0.12","0","-3","0","0"
"1","1","6","0","0","-3","2.2","0.12","0","-3","0","0"
"1","1","7","0","0","-2","2.4","0.12","0","-2","0","0"
"1","1","8","0","18","-1","2.9","0.12","16.685","-0.703","738.682","395.423"
"1","1","9","5","73","0","3.1","0.12","74.641","1.485","5264.35","4760.728"
"1","1","10","241","124","0","3","0.12","286.048","5.821","21126.562","20060.879"
"1","1","11","215","163","0","2.8","0.12","325.769","6.853","23938.927","22773.591"
"1","1","12","484","136","1","2.6","0.12","510.85","12.148","37240.791","35604.117"
"1","1","13","469","131","1","2.5","0.12","483.172","11.74","35290.981","33723.396"
"1","1","14","505","98","1","2.6","0.12","428.266","10.358","31523.211","30089.134"
"1","1","15","355","75","0","2.3","0.12","264.622","6.09","19319.231","18317.589"
"1","1","16","157","35","0","2.2","0.12","96.232","2.159","5922.972","5396.013"
